Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H2-1,H2-1 Length,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Transferred (bytes),Word Count,Sentence Count,Average Words Per Sentence,Flesch Reading Ease Score,Readability,Text Ratio,Crawl Depth,Folder Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,GA4 Sessions,GA4 Views,GA4 Engaged sessions,GA4 Engagement rate,GA4 Event count,GA4 Average session duration,GA4 Bounce rate,GA4 Total users,GA4 New users,Clicks,Impressions,CTR,Position,URL Inspection API Status,URL Inspection API Error,Summary,Coverage,Last Crawl,Days Since Last Crawled,Crawled As,Crawl Allowed,Page Fetch,Indexing Allowed,User-Declared Canonical,Google-Selected Canonical,Mobile Usability,Mobile Usability Issues,AMP Results,AMP Issues,Rich Results,Rich Results Types,Rich Results Type Errors,Rich Results Type Warnings,URL Encoded Address,Crawl Timestamp
https://fcc-na.com/wp-content/uploads/2023/08/exhibition01-2-1-1.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,2,4,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.289,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/uploads/2023/08/exhibition01-2-1-1.jpg,11/21/2024 11:20
https://fcc-na.com/wp-content/uploads/2023/08/li_img05-2-1.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,2,4,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.287,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/uploads/2023/08/li_img05-2-1.jpg,11/21/2024 11:20
https://fcc-na.com/jobs/000-fcc-indiana-general-production/,text/html; charset=UTF-8,200,OK,Indexable,,F.C.C | FCC (INDIANA) GENERAL PRODUCTION,40,414,,0,0,,,,0,Connecting to Solve Tomorrow’s Challenges Today,47,23,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://fcc-na.com/jobs/000-fcc-indiana-general-production/,,,,,,,,1613,510,3.163,53.254,Fairly Hard,,2,2,,8,4,0,1.41,73,32,0,76,39,0,,,128,32,,0.295,,,,,1.1,59,99,32,0.54,528,0:05:06,0.46,41,15,0,10,0,7.9,Success,,URL is on Google,Submitted and indexed,2024-11-19T17:41:45Z,1,Mobile user agent,Yes,Successful,Yes,https://fcc-na.com/jobs/000-fcc-indiana-general-production/,https://fcc-na.com/jobs/000-fcc-indiana-general-production/,N/A,,N/A,,Valid,"Sitelinks searchbox, Breadcrumbs",,,https://fcc-na.com/jobs/000-fcc-indiana-general-production/,11/21/2024 11:22
https://fcc-na.com/quality-engineering-in-manufacturing/,text/html; charset=UTF-8,200,OK,Indexable,,F.C.C | The Role of Quality Engineers in Enhancing Product Value,64,572,Discover how Quality Engineers enhance product value in manufacturing. Learn key strategies for overcoming common industry challenges. Read now!,144,931,,,The Role of Quality Engineers in Enhancing Product Value,56,What is Quality Engineering In Manufacturing?,45,21,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://fcc-na.com/quality-engineering-in-manufacturing/,,,,,,,,2574,601,4.283,32.17,Hard,,4,1,,32,16,0,5.63,85,37,0,85,48,0,,,130,40,,0.296,,,,,1.1,52,63,26,0.5,226,0:02:03,0.5,45,44,38,7854,0.005,37.34,Success,,URL is on Google,Submitted and indexed,2024-11-16T11:24:44Z,5,Mobile user agent,Yes,Successful,Yes,https://fcc-na.com/quality-engineering-in-manufacturing/,https://fcc-na.com/quality-engineering-in-manufacturing/,N/A,,N/A,,Valid,"Sitelinks searchbox, Breadcrumbs",,,https://fcc-na.com/quality-engineering-in-manufacturing/,11/21/2024 11:24
https://fcc-na.com/wp-content/uploads/2023/08/realization01-2-1.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,2,4,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.287,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/uploads/2023/08/realization01-2-1.jpg,11/21/2024 11:20
https://fcc-na.com/wp-content/uploads/2023/01/tech04.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,2,4,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.283,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/uploads/2023/01/tech04.jpg,11/21/2024 11:20
https://fcc-na.com/wp-content/uploads/2024/10/forging-defects-and-quality-control-forging-operation-150x150.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,3,4,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.074,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/uploads/2024/10/forging-defects-and-quality-control-forging-operation-150x150.jpg,11/21/2024 11:22
https://fcc-na.com/wp-content/uploads/2023/08/exhibition02-1-1-300x130.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,2,4,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.292,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/uploads/2023/08/exhibition02-1-1-300x130.jpg,11/21/2024 11:21
https://fcc-na.com/us-overseas-locations/,text/html; charset=UTF-8,200,OK,Indexable,,F.C.C | US and Overseas Locations,33,306,Explore FCC's global footprint across US and overseas locations. Discover how our international presence enables us to serve diverse markets and contribute to worldwide advancements in manufacturing and technology.,214,1356,,,US and Overseas Locations,25,Production base,15,18,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,https://fcc-na.com/us-overseas-locations/,,,,,,,,1459,560,2.605,53.778,Fairly Hard,,2,1,,0,0,0,0,114,59,0,77,38,0,,,192,47,,0.295,,,,,1.1,1368,4046,1106,0.81,14781,0:04:08,0.19,1241,1151,79,17351,0.005,9.05,Success,,URL is on Google,Submitted and indexed,2024-11-18T17:18:07Z,2,Mobile user agent,Yes,Successful,Yes,https://fcc-na.com/us-overseas-locations/,https://fcc-na.com/us-overseas-locations/,N/A,,N/A,,Valid,"Sitelinks searchbox, Breadcrumbs",,,https://fcc-na.com/us-overseas-locations/,11/21/2024 11:20
https://fcc-na.com/wp-content/uploads/2023/08/strength05-1.png,image/png,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,2,4,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.285,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/uploads/2023/08/strength05-1.png,11/21/2024 11:20
https://fcc-na.com/wp-content/uploads/2024/08/environmental-impact-of-carbon-nanotubes-materials-revolution-300x300.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,3,4,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.286,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/uploads/2024/08/environmental-impact-of-carbon-nanotubes-materials-revolution-300x300.jpg,11/21/2024 11:22
https://fcc-na.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css?ver=3.24.4,text/css,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,1,5,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.075,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css?ver=3.24.4,11/21/2024 11:20
https://fcc-na.com/wp-content/uploads/2024/09/hybrid-joining-processes-clinch-bonding-150x150.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,2,4,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.289,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/uploads/2024/09/hybrid-joining-processes-clinch-bonding-150x150.jpg,11/21/2024 11:21
https://fcc-na.com/post-sitemap.xml,text/xml; charset=UTF-8,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.92,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/post-sitemap.xml,11/21/2024 11:19
https://fcc-na.com/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=3.3.2,text/css,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,2,7,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.078,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=3.3.2,11/21/2024 11:21
https://fcc-na.com/wp-content/uploads/2024/05/Industial-internt-of-things-768x768.png,image/png,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,4,4,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.286,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/uploads/2024/05/Industial-internt-of-things-768x768.png,11/21/2024 11:24
https://fcc-na.com/wp-content/uploads/2023/03/download-2.png,image/png,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,1,4,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.281,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/uploads/2023/03/download-2.png,11/21/2024 11:19
https://fcc-na.com/wp-content/uploads/2023/03/icon_mtc.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,,,0,,0,0,,,,,,,,,,,,0,,,,,,1,4,,0,0,0,0,0,0,0,0,0,0,,,0,0,,0.282,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fcc-na.com/wp-content/uploads/2023/03/icon_mtc.jpg,11/21/2024 11:19
